iter	Logloss
0	0.03444322804
1	0.005707955306
2	0.003487906314
3	0.00297083445
4	0.002753296119
5	0.002682789606
6	0.002531038596
7	0.002325474532
8	0.00226398447
9	0.002202886231
10	0.002174586171
11	0.002030644505
12	0.001989113957
13	0.00193045204
14	0.001901515739
15	0.001863532262
16	0.001849281202
17	0.001812628036
18	0.001794021868
19	0.001761502096
20	0.001742890739
21	0.00171161577
22	0.001688073664
23	0.001655555256
24	0.001621253667
25	0.001548881064
26	0.001526243439
27	0.00150472755
28	0.001477015161
29	0.001457364742
30	0.001434024784
31	0.001410385786
32	0.001395825561
33	0.001363848291
34	0.001336341734
35	0.001276357554
36	0.001244720089
37	0.001241735286
38	0.001219859648
39	0.001187608875
40	0.001172798422
41	0.001164174066
42	0.001140973139
43	0.001121358186
44	0.001106780575
45	0.001089113975
46	0.001074738281
47	0.001059518343
48	0.001052791033
49	0.001027996399
